source,config,base,metric,estimator,kind,tau,m,sigma,R,R_rule,psd,clip_pct,plane_norm,rdoq,n_images,qps,bd_psnr_y,bd_psnr_yuv,bd_ssim,bd_ms_ssim,bd_lpips,bd_dists,bd_psnr_rgb,bd_lpips_alex,bd_wd0,bd_wd2,bd_wd4
vvc_rdo_lpips_bh8_m255_20260923_114350,wlpips_bh8_m255_tau0.5_rdoq,wlpips_bh8_m255,lpips,gnblock,block,0.5,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",8.798470955497402,7.581637698874655,-5.974300374681704,-5.3656317684364945,-15.900947558950294,-11.366809463312924,5.268966866622294,-14.737762335674153,-10.145104692386093,-12.271812159895402,-16.15721794264696
vvc_rdo_lpips_bh8_m255_20260923_114350,wlpips_bh8_m255_tau1_rdoq,wlpips_bh8_m255,lpips,gnblock,block,1,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",4.516262581503748,3.685318365980334,-5.618262822877173,-4.992234236474042,-13.538084022064846,-10.484623578338072,2.1045453132321383,-12.82894423139498,-8.953664148502915,-10.570426655093767,-13.794256161607933
vvc_rdo_lpips_bh8_m255_20260923_114350,wlpips_bh8_m255_tau2_rdoq,wlpips_bh8_m255,lpips,gnblock,block,2,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",1.9888189518952242,1.4739565424725376,-4.3811468074300635,-4.12594372081762,-10.573093054559498,-8.746827199582238,0.46384050650402725,-10.204081324463212,-7.006349608092658,-8.143477864865886,-10.530147084911327
vvc_rdo_lpips_bh8_m255_20260923_114350,wlpips_bh8_m255_tau4_rdoq,wlpips_bh8_m255,lpips,gnblock,block,4,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.8237552546928725,0.504834792135827,-3.2472682887283795,-3.047661637600131,-7.471121641659913,-6.197830101160662,-0.12527911875053152,-7.18062071062871,-4.989453866084702,-5.761591383804031,-7.446755036683335
vvc_rdo_lpips_bh8_m1_20260923_132216,wlpips_bh8_m1_tau0.5_rdoq,wlpips_bh8_m1,lpips,gnblock,block,0.5,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",3.292668736019339,2.9307465163710518,-1.8336717138469798,-1.7465760770581855,-7.390228431122115,-6.619330893971356,2.1622646724642576,-6.570655336309376,-4.071613725487938,-5.003055948898987,-7.007445303291948
vvc_rdo_lpips_bh8_m1_20260923_132216,wlpips_bh8_m1_tau1_rdoq,wlpips_bh8_m1,lpips,gnblock,block,1,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",2.057291873954333,1.7220429835550128,-2.1909767264398723,-2.0375644291963098,-6.7638160136452425,-6.554362253075404,1.049086150555299,-6.297884199661053,-4.105728259425776,-4.894771417524868,-6.552421358278764
vvc_rdo_lpips_bh8_m1_20260923_132216,wlpips_bh8_m1_tau2_rdoq,wlpips_bh8_m1,lpips,gnblock,block,2,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",1.0755217509784087,0.812255078387561,-2.0105381006168033,-1.8983130903978542,-5.677122277715179,-4.876661031568461,0.30145233752317074,-5.5802298955365295,-3.6063279377562174,-4.223665088292972,-5.557987585355261
vvc_rdo_lpips_bh8_m1_20260923_132216,wlpips_bh8_m1_tau4_rdoq,wlpips_bh8_m1,lpips,gnblock,block,4,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.48639347734352373,0.3041614856115417,-1.5958717599365055,-1.5426060885479471,-4.324496839839266,-3.639453263389923,-0.05892258158745287,-4.355769433696309,-2.7988177462420616,-3.251291436375194,-4.226432675425822
vvc_rdo_lpips_bh8_m1_20260923_143615,wlpips_bh8_m1_tau0.25_rdoq,wlpips_bh8_m1,lpips,gnblock,block,0.25,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",4.465954864395555,4.050523685563714,-1.480175404090504,-1.2593890276818753,-7.077602373971614,-6.181468537471009,3.178335393500825,-6.583105481736946,-3.6587300965993457,-4.665517531490547,-6.745393515542431
vvc_rdo_lpips_bh8_m1_20260923_143615,wlpips_bh8_m1_tau0.125_rdoq,wlpips_bh8_m1,lpips,gnblock,block,0.125,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",5.299285468984606,4.910978047278157,-0.9692010259897197,-0.7923515097609085,-6.800439000540268,-6.14417110379966,4.054853624059735,-6.167602701647948,-3.3221305359546762,-4.377808775714228,-6.583039915969504
vvc_rdo_lpips_bh8_m2_20260923_153546,wlpips_bh8_m2_tau0.5_rdoq,wlpips_bh8_m2,lpips,gnblock,block,0.5,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.7419650097275318,0.6479303058436544,-0.13861464974179172,-0.05371355449133817,-0.9626599278636369,-1.2871230746850575,0.4313025891666184,-0.4813377371188629,-0.7219918060919811,-0.9011173225194021,-1.3827047749488024
vvc_rdo_lpips_bh8_m2_20260923_153546,wlpips_bh8_m2_tau1_rdoq,wlpips_bh8_m2,lpips,gnblock,block,1,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.3556380566579069,0.2715025786008435,-0.3967924827565037,-0.3245189251680695,-1.2755510321576615,-1.6689118784230483,0.0795037868540872,-0.8724281627503535,-0.8913213262299499,-1.049518720385223,-1.4842242127244047
vvc_rdo_lpips_bh8_m2_20260923_153546,wlpips_bh8_m2_tau2_rdoq,wlpips_bh8_m2,lpips,gnblock,block,2,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.1789163146201677,0.11910750206766037,-0.3134536807880765,-0.3145976952371972,-0.6693023411662687,-0.9775093452746145,0.03220340130350117,-0.3431209177728027,-0.6651461587331218,-0.7797945829110794,-1.1022276558101807
vvc_rdo_lpips_bh8_m2_20260923_153546,wlpips_bh8_m2_tau4_rdoq,wlpips_bh8_m2,lpips,gnblock,block,4,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.08161035704134512,0.057275580965885274,-0.27067758903392924,-0.3200945992914294,-0.7800528297633784,-1.4751440478392024,0.0011619737341752219,-0.32197395491819264,-0.5732274314521862,-0.6689466069426396,-0.9875535097349907
vvc_rdo_lpips_bh8_m1_20260923_154030,wlpips_bh8_m1_tau0.0625_rdoq,wlpips_bh8_m1,lpips,gnblock,block,0.0625,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",5.921815452959071,5.52415426211081,-0.5347739440725293,-0.4414201335062063,-6.619591419404673,-6.358929383384987,4.614819959666091,-6.103863702493463,-2.962859273796191,-4.052446027115003,-6.345392921434178
